epoch,lr,train_loss,val_loss,step,test_loss
0.0,9.999999747378752e-05,121090.9921875,116700.953125,4,
1.0,9.999999747378752e-05,113895.0859375,109650.6640625,9,
2.0,9.999999747378752e-05,107020.890625,102855.90625,14,
3.0,9.999999747378752e-05,100511.0703125,96335.171875,19,
4.0,9.999999747378752e-05,94112.0390625,90100.546875,24,
5.0,9.999999747378752e-05,88144.765625,84155.4765625,29,
6.0,9.999999747378752e-05,82405.5703125,78481.9609375,34,
7.0,9.999999747378752e-05,76848.734375,73096.28125,39,
8.0,9.999999747378752e-05,71634.6796875,67993.3203125,44,
9.0,9.999999747378752e-05,66675.6640625,63160.9921875,49,
10.0,9.999999747378752e-05,62067.77734375,58594.59765625,54,244.49456787109375
11.0,9.999999747378752e-05,57785.94921875,54291.9296875,59,
12.0,9.999999747378752e-05,53374.04296875,50254.47265625,64,
13.0,9.999999747378752e-05,49571.32421875,46450.6171875,69,
14.0,9.999999747378752e-05,45856.30078125,42874.80078125,74,
15.0,9.999999747378752e-05,42317.26171875,39520.15625,79,
16.0,9.999999747378752e-05,39049.0078125,36377.0546875,84,
17.0,9.999999747378752e-05,36144.80078125,33437.89453125,89,
18.0,9.999999747378752e-05,33150.87109375,30696.779296875,94,
19.0,9.999999747378752e-05,30715.45703125,28142.240234375,99,
20.0,9.999999747378752e-05,27967.513671875,25765.900390625,104,167.12789916992188
21.0,9.999999747378752e-05,25792.572265625,23558.5390625,109,
22.0,9.999999747378752e-05,23515.541015625,21511.98828125,114,
23.0,9.999999747378752e-05,21607.419921875,19617.63671875,119,
24.0,9.999999747378752e-05,19828.576171875,17866.474609375,124,
25.0,9.999999747378752e-05,18034.947265625,16250.498046875,129,
26.0,9.999999747378752e-05,16637.1953125,14762.9560546875,134,
27.0,9.999999747378752e-05,14996.306640625,13394.73828125,139,
28.0,9.999999747378752e-05,13602.3779296875,12139.6767578125,144,
29.0,9.999999747378752e-05,12368.03125,10991.787109375,149,
30.0,9.999999747378752e-05,11505.2578125,9941.66796875,154,108.49188995361328
31.0,9.999999747378752e-05,10263.3310546875,8982.306640625,159,
32.0,9.999999747378752e-05,9422.7626953125,8109.87158203125,164,
33.0,9.999999747378752e-05,8600.0546875,7315.6064453125,169,
34.0,9.999999747378752e-05,7707.53271484375,6593.734375,174,
35.0,9.999999747378752e-05,6899.21875,5941.435546875,179,
36.0,9.999999747378752e-05,6426.91259765625,5353.3955078125,184,
37.0,9.999999747378752e-05,5574.1572265625,4822.53857421875,189,
38.0,9.999999747378752e-05,5287.32275390625,4347.57958984375,194,
39.0,9.999999747378752e-05,4801.37744140625,3918.7919921875,199,
40.0,9.999999747378752e-05,4282.37255859375,3534.218017578125,204,67.70143127441406
41.0,9.999999747378752e-05,3887.955078125,3191.01220703125,209,
42.0,9.999999747378752e-05,3509.96484375,2886.234619140625,214,
43.0,9.999999747378752e-05,3130.33984375,2614.67431640625,219,
44.0,9.999999747378752e-05,2918.802490234375,2375.4931640625,224,
45.0,9.999999747378752e-05,2805.607666015625,2164.27197265625,229,
46.0,9.999999747378752e-05,2386.600830078125,1974.616943359375,234,
47.0,9.999999747378752e-05,2299.39990234375,1808.558349609375,239,
48.0,9.999999747378752e-05,1998.4422607421875,1662.619873046875,244,
49.0,9.999999747378752e-05,1844.074462890625,1536.9912109375,249,
50.0,9.999999747378752e-05,1755.5146484375,1428.135498046875,254,42.01136779785156
51.0,9.999999747378752e-05,1672.5260009765625,1333.291748046875,259,
52.0,9.999999747378752e-05,1525.1285400390625,1249.99560546875,264,
53.0,9.999999747378752e-05,1483.3018798828125,1177.209716796875,269,
54.0,9.999999747378752e-05,1409.15087890625,1114.819580078125,274,
55.0,9.999999747378752e-05,1295.7720947265625,1059.41015625,279,
56.0,9.999999747378752e-05,1216.0135498046875,1012.2473754882812,284,
57.0,9.999999747378752e-05,1186.9002685546875,972.3241577148438,289,
58.0,9.999999747378752e-05,1123.0660400390625,938.3919677734375,294,
59.0,9.999999747378752e-05,1030.078125,910.04296875,299,
60.0,9.999999747378752e-05,1028.2049560546875,886.4691772460938,304,33.81451416015625
61.0,9.999999747378752e-05,1001.3983764648438,866.574951171875,309,
62.0,9.999999747378752e-05,981.18798828125,850.143798828125,314,
63.0,9.999999747378752e-05,930.1456298828125,836.0228881835938,319,
64.0,9.999999747378752e-05,928.5307006835938,824.3253173828125,324,
65.0,9.999999747378752e-05,926.86474609375,814.9197387695312,329,
66.0,9.999999747378752e-05,920.1784057617188,806.7823486328125,334,
67.0,9.999999747378752e-05,880.0022583007812,799.777587890625,339,
68.0,9.999999747378752e-05,884.5582275390625,794.25537109375,344,
69.0,9.999999747378752e-05,877.9884033203125,789.79931640625,349,
70.0,9.999999747378752e-05,850.1028442382812,786.1475830078125,354,30.17942237854004
71.0,9.999999747378752e-05,841.8310546875,783.391845703125,359,
72.0,9.999999747378752e-05,836.3894653320312,781.275146484375,364,
73.0,9.999999747378752e-05,832.8781127929688,779.5916137695312,369,
74.0,9.999999747378752e-05,820.2410278320312,778.3311767578125,374,
75.0,9.999999747378752e-05,825.6902465820312,777.3277587890625,379,
76.0,9.999999747378752e-05,813.1707153320312,776.6409912109375,384,
77.0,9.999999747378752e-05,806.0440673828125,776.0537719726562,389,
78.0,9.999999747378752e-05,803.859375,775.6046142578125,394,
79.0,9.999999747378752e-05,802.9081420898438,775.1375122070312,399,
80.0,9.999999747378752e-05,795.013427734375,774.6270751953125,404,28.232088088989258
81.0,9.999999747378752e-05,791.7877197265625,774.3013916015625,409,
82.0,9.999999747378752e-05,793.0690307617188,773.42236328125,414,
83.0,9.999999747378752e-05,789.6334838867188,772.6791381835938,419,
84.0,9.999999747378752e-05,789.7286376953125,772.03369140625,424,
85.0,9.999999747378752e-05,784.0910034179688,771.2337646484375,429,
86.0,9.999999747378752e-05,783.5810546875,770.4761962890625,434,
87.0,9.999999747378752e-05,779.0843505859375,769.8629150390625,439,
88.0,9.999999747378752e-05,779.9181518554688,768.7564086914062,444,
89.0,9.999999747378752e-05,779.33935546875,768.0980224609375,449,
90.0,9.999999747378752e-05,772.507080078125,767.623291015625,454,27.260360717773438
91.0,9.999999747378752e-05,772.2490234375,766.831787109375,459,
92.0,9.999999747378752e-05,771.7740478515625,765.7207641601562,464,
93.0,9.999999747378752e-05,770.1464233398438,764.9854736328125,469,
94.0,9.999999747378752e-05,765.5938720703125,764.2762451171875,474,
95.0,9.999999747378752e-05,765.8472900390625,763.7578125,479,
96.0,9.999999747378752e-05,761.8271484375,762.3563232421875,484,
97.0,9.999999747378752e-05,759.05126953125,761.2451171875,489,
98.0,9.999999747378752e-05,756.9950561523438,759.7901000976562,494,
99.0,9.999999747378752e-05,755.3810424804688,758.3433837890625,499,
100.0,9.999999747378752e-05,760.4816284179688,756.8300170898438,504,26.586198806762695
101.0,9.999999747378752e-05,754.4799194335938,754.8384399414062,509,
102.0,9.999999747378752e-05,753.4755249023438,752.2578735351562,514,
103.0,9.999999747378752e-05,748.6181030273438,750.0933837890625,519,
104.0,9.999999747378752e-05,745.63427734375,748.3314208984375,524,
105.0,9.999999747378752e-05,744.40673828125,746.4134521484375,529,
106.0,9.999999747378752e-05,744.6818237304688,744.5540771484375,534,
107.0,9.999999747378752e-05,741.5140991210938,742.475830078125,539,
108.0,9.999999747378752e-05,736.4577026367188,740.2750244140625,544,
109.0,9.999999747378752e-05,740.1708984375,738.2056274414062,549,
110.0,9.999999747378752e-05,741.4052124023438,737.0750122070312,554,26.28271484375
111.0,9.999999747378752e-05,735.8878173828125,735.5098876953125,559,
112.0,9.999999747378752e-05,730.6673583984375,733.2534790039062,564,
113.0,9.999999747378752e-05,734.1729125976562,731.836181640625,569,
114.0,9.999999747378752e-05,728.3870849609375,730.2857666015625,574,
115.0,9.999999747378752e-05,725.3622436523438,728.6165771484375,579,
116.0,9.999999747378752e-05,727.2619018554688,727.246826171875,584,
117.0,9.999999747378752e-05,721.7579956054688,725.3984375,589,
118.0,9.999999747378752e-05,720.5045776367188,723.0783081054688,594,
119.0,9.999999747378752e-05,719.7060546875,721.63037109375,599,
120.0,9.999999747378752e-05,716.4586791992188,719.9158935546875,604,25.838651657104492
121.0,9.999999747378752e-05,713.76611328125,717.7080078125,609,
122.0,9.999999747378752e-05,710.9280395507812,716.228271484375,614,
123.0,9.999999747378752e-05,704.5025024414062,714.0554809570312,619,
124.0,9.999999747378752e-05,705.4127807617188,712.8536376953125,624,
125.0,9.999999747378752e-05,711.0031127929688,711.6761474609375,629,
126.0,9.999999747378752e-05,707.1372680664062,709.7096557617188,634,
127.0,9.999999747378752e-05,706.2807006835938,707.2474975585938,639,
128.0,9.999999747378752e-05,701.7160034179688,704.5255126953125,644,
129.0,9.999999747378752e-05,698.130859375,702.0028076171875,649,
130.0,9.999999747378752e-05,697.33251953125,700.6778564453125,654,25.45836067199707
131.0,9.999999747378752e-05,697.2156372070312,698.1390380859375,659,
132.0,9.999999747378752e-05,689.73974609375,695.89892578125,664,
133.0,9.999999747378752e-05,694.9754028320312,694.4290161132812,669,
134.0,9.999999747378752e-05,693.5899658203125,692.4102783203125,674,
135.0,9.999999747378752e-05,687.9215087890625,690.1546630859375,679,
136.0,9.999999747378752e-05,682.9602661132812,687.2265625,684,
137.0,9.999999747378752e-05,682.5077514648438,685.2310791015625,689,
138.0,9.999999747378752e-05,682.6116333007812,682.975341796875,694,
139.0,9.999999747378752e-05,683.5484619140625,681.7908935546875,699,
140.0,9.999999747378752e-05,679.4769897460938,679.7750244140625,704,25.12519073486328
141.0,9.999999747378752e-05,675.0225830078125,677.5975952148438,709,
142.0,9.999999747378752e-05,674.2929077148438,675.472900390625,714,
143.0,9.999999747378752e-05,674.166259765625,673.066650390625,719,
144.0,9.999999747378752e-05,664.9884643554688,671.2716674804688,724,
145.0,9.999999747378752e-05,665.9375,669.9107055664062,729,
146.0,9.999999747378752e-05,667.8331909179688,668.266845703125,734,
147.0,9.999999747378752e-05,662.5770874023438,665.590087890625,739,
148.0,9.999999747378752e-05,658.7940673828125,663.7268676757812,744,
149.0,9.999999747378752e-05,661.337158203125,662.12890625,749,
150.0,9.999999747378752e-05,656.098876953125,659.4297485351562,754,24.749717712402344
151.0,9.999999747378752e-05,653.44677734375,657.4732666015625,759,
152.0,9.999999747378752e-05,654.5992431640625,655.65380859375,764,
153.0,9.999999747378752e-05,650.06640625,653.0904541015625,769,
154.0,9.999999747378752e-05,651.4821166992188,651.2040405273438,774,
155.0,9.999999747378752e-05,644.626953125,648.8386840820312,779,
156.0,9.999999747378752e-05,643.89013671875,647.212890625,784,
157.0,9.999999747378752e-05,647.138671875,645.6304931640625,789,
158.0,9.999999747378752e-05,640.8590698242188,643.363037109375,794,
159.0,9.999999747378752e-05,638.5642700195312,640.8626708984375,799,
160.0,9.999999747378752e-05,637.7947387695312,638.8206787109375,804,24.369964599609375
161.0,9.999999747378752e-05,634.1611328125,636.3782958984375,809,
162.0,9.999999747378752e-05,630.75,634.6985473632812,814,
163.0,9.999999747378752e-05,633.1544799804688,632.7305908203125,819,
164.0,9.999999747378752e-05,630.6830444335938,631.00634765625,824,
165.0,9.999999747378752e-05,628.42626953125,628.8310546875,829,
166.0,9.999999747378752e-05,626.8645629882812,626.1139526367188,834,
167.0,9.999999747378752e-05,624.3663940429688,624.0712890625,839,
168.0,9.999999747378752e-05,619.4176635742188,621.9710693359375,844,
169.0,9.999999747378752e-05,615.177001953125,619.547607421875,849,
170.0,9.999999747378752e-05,620.5968627929688,617.8375244140625,854,23.993663787841797
171.0,9.999999747378752e-05,616.2852172851562,615.8958740234375,859,
172.0,9.999999747378752e-05,614.8877563476562,612.9984130859375,864,
173.0,9.999999747378752e-05,609.1041870117188,610.15087890625,869,
174.0,9.999999747378752e-05,606.4743041992188,608.96533203125,874,
175.0,9.999999747378752e-05,607.6773071289062,607.7244873046875,879,
176.0,9.999999747378752e-05,606.5245971679688,606.1815185546875,884,
177.0,9.999999747378752e-05,604.02490234375,605.0472412109375,889,
178.0,9.999999747378752e-05,601.0660400390625,602.9376220703125,894,
179.0,9.999999747378752e-05,599.1376342773438,600.6783447265625,899,
180.0,9.999999747378752e-05,597.2258911132812,599.147216796875,904,23.502172470092773
181.0,9.999999747378752e-05,592.2106323242188,596.42138671875,909,
182.0,9.999999747378752e-05,590.5531616210938,594.406005859375,914,
183.0,9.999999747378752e-05,590.1246337890625,592.0042724609375,919,
184.0,9.999999747378752e-05,593.0275268554688,590.4035034179688,924,
185.0,9.999999747378752e-05,586.7156372070312,587.7645874023438,929,
186.0,9.999999747378752e-05,585.1444091796875,585.7011108398438,934,
187.0,9.999999747378752e-05,579.6351928710938,583.7369384765625,939,
188.0,9.999999747378752e-05,579.3435668945312,582.1244506835938,944,
189.0,9.999999747378752e-05,579.9057006835938,581.4074096679688,949,
190.0,9.999999747378752e-05,576.1732788085938,579.7509765625,954,23.035234451293945
191.0,9.999999747378752e-05,573.64453125,577.2198486328125,959,
192.0,9.999999747378752e-05,572.8092041015625,574.7620239257812,964,
193.0,9.999999747378752e-05,571.0497436523438,572.755126953125,969,
194.0,9.999999747378752e-05,567.2955932617188,570.7926025390625,974,
195.0,9.999999747378752e-05,566.2000122070312,568.4732055664062,979,
196.0,9.999999747378752e-05,564.3136596679688,565.9947509765625,984,
197.0,9.999999747378752e-05,562.0827026367188,563.5194091796875,989,
198.0,9.999999747378752e-05,558.7240600585938,561.14013671875,994,
199.0,9.999999747378752e-05,557.4027099609375,559.6377563476562,999,
200.0,9.999999747378752e-05,556.85546875,558.27978515625,1004,22.65435791015625
201.0,9.999999747378752e-05,550.7615966796875,555.9840698242188,1009,
